name;count;url;status;build
RocketMap/RocketMap;2;https://github.com/RocketMap/RocketMap;discarded;null
ajaxorg/ace;3;https://github.com/ajaxorg/ace;discarded;null
nuxt/nuxt.js;1;https://github.com/nuxt/nuxt.js;discarded;null
GoogleChromeLabs/sw-precache;1;https://github.com/GoogleChromeLabs/sw-precache;null;null
benweet/stackedit;1;https://github.com/benweet/stackedit;null;null
deezer/spleeter;7;https://github.com/deezer/spleeter;null;null
simple-icons/simple-icons;1;https://github.com/simple-icons/simple-icons;null;null
chubin/wttr.in;1;https://github.com/chubin/wttr.in;null;null
malwaredllc/byob;6;https://github.com/malwaredllc/byob;discarded;null
NodeBB/NodeBB;1;https://github.com/NodeBB/NodeBB;null;null
trailofbits/algo;1;https://github.com/trailofbits/algo;null;null
amark/gun;1;https://github.com/amark/gun;null;null
scrapinghub/portia;1;https://github.com/scrapinghub/portia;null;null
bigbluebutton/bigbluebutton;16;https://github.com/bigbluebutton/bigbluebutton;null;null
ansible/ansible-container;5;https://github.com/ansible/ansible-container;null;null
badges/shields;2;https://github.com/badges/shields;null;null
polyaxon/polyaxon;25;https://github.com/polyaxon/polyaxon;null;null
HelloZeroNet/ZeroNet;2;https://github.com/HelloZeroNet/ZeroNet;null;null
ansible/awx;7;https://github.com/ansible/awx;null;null
sdelements/lets-chat;1;https://github.com/sdelements/lets-chat;null;null
jhao104/proxy_pool;1;https://github.com/jhao104/proxy_pool;null;null
j3ssie/Osmedeus;1;https://github.com/j3ssie/Osmedeus;null;null
DevExpress/testcafe;2;https://github.com/DevExpress/testcafe;null;null
facebook/prophet;1;https://github.com/facebook/prophet;null;null
open-mmlab/mmdetection;2;https://github.com/open-mmlab/mmdetection;null;null
twintproject/twint;1;https://github.com/twintproject/twint;null;null
openstf/stf;4;https://github.com/openstf/stf;null;null
liftoff/GateOne;1;https://github.com/liftoff/GateOne;null;null
RobinLinus/snapdrop;1;https://github.com/RobinLinus/snapdrop;null;null
schollz/howmanypeoplearearound;1;https://github.com/schollz/howmanypeoplearearound;null;null
facebookresearch/Detectron;1;https://github.com/facebookresearch/Detectron;null;null
streamaserver/streama;2;https://github.com/streamaserver/streama;null;null
horovod/horovod;5;https://github.com/horovod/horovod;null;null
numpy/numpy;2;https://github.com/numpy/numpy;null;null
mailpile/Mailpile;3;https://github.com/mailpile/Mailpile;null;null
